Review_Header,Review_Detail
It's dog food for my lady (Her name is lady),"for a 47 lb bag this is actually a good price. Got here faster than I expected too. I had gotten a 20 lb bag from the food store for my dog just to hold her over til I could get a bigger bag and that 20 lb bag was around the same price as this one which was ridiculous. But my dog loves this stuff I always try getting different flavors for her to test out to see which one's she's willing to eat and which one's she's not as fond of. I just got her a year ago rescued her from a breeder who was abusive towards her. He only gave his dogs one type of food and wanted me to pay him 80 dollars for the food which is a brand I never even heard of.She is much happier here getting her pets and loving she may be a cane corso(italian mastiff) but acts like a lap dog. I've been buying her beds,treats, all of it that she more than likely never had there. Because most breeders are very strict with their dogs about what they eat and he had her outside in a kennel which probably didn't have heating or anything. (the dude was amish and really into how to do thing's the old way aka no electric, etc.She is a good protector though she see's a random cat run passed the door or squirrel she loses her mind and barks and jumps all over. She is a sweetheart even though all she's been through. She's a big puppy inside."
A Good Dry Dog Food,The hydrated chicken pieces are plentiful and the spaniel loves them. this was also recommended by the vet too
loves the chicken bites,"I am a picky labradoodle but I like this dry dog food because it's like there are little treats in it, and then the other stuff sneaks into my mouth."
The Shredded chicken is what your dog will love.,"The shredded chicken mixed in with the dry kibble makes this an excellent choice for picky eaters. We were struggling to find a dry food that our dog would actually want to eat. This food was a game changer. Our pup went from turning his nose up at other foods to now happily enjoying his mealtimes. It's a good qualify food with essential vitamins and minerals, probiotics and glucosamine.I am not affiliated in any way with the seller or brand. This is my own personal review and recommendation. 😊"
Dogs love it.,Funny that one of the questions in the review is flavor.  I have to trust my dogs on this answer. I asked and the both told me it tasted good.  They then asked if they could have ice cream since they cleaned their plates. I can't argue with that.
My dogs love it.  Can't wait until meal time.,My dogs have shiny soft fur and don't itch or scratch.They get so excited when it's time to eat.
My dog’s favorite,Pro Plan was recommended by our trainer many years ago and it’s the only brand we feed. Our boy is a picky eater but he likes this food and he’s 12 yrs old and fortunately super healthy so we think this food is the best.
Purina pro plan,"Purina pro plan,todo esta excelente sabor,frescura mi nieta perrita preciosa le gusta,lo qu no me gusto es que dejaron la funda abajo de mi edificio y no la subieron arriba dónde vivo"
Very crumbly,"Food is probably very good, but makes a mess when you put it in a treat toy because it’s so crumbly.  Also, I have to pick out the bigger irregular shaped bits because they don’t come out of the toys easily."
Our dog's favorite,Our dogs love this food and have been maintaining a good healthy weight.
Doggy loves it,"My dog is picky, he actually enjoys this food and it is vet recommended. Purchased on Amazon due to tractor supply being out of stock of it over last few months"
Allergy,We have always used the Purina Pro plan for our dogs since they were small.  I read about this probiotics and shredded chicken product and thought it worth trying even though it's pricey!  We got 3/4 thru the bag and my Golden retriever started to chew and lick so much that he began to get raw hot spots.  I can't say this will happen to all dogs. but my two dogs had a terrible itching situation that sent me to the Vet for the hot spots from licking and itching.  I think this product should be reviewed by Purina and see what is causing the itching to prevent this situation in the future.
Not sure about the flavor but the dog seems to enjoy it!,Dog eats this well.
Tasty!,I really enjoy this food either by itself or with milk. It’s both crunchy and savory. Perfect start to the day!
"Switched from higher-end brands, dogs happier and healthier","Over the last few decades we have always fed our dogs high-end dog foods like Taste of the Wild, Canidae, Orijen, etc. However, we would also regularly have digestive issues (diarrhea, constipation, loudly burbling stomachs, bloat, etc), and we would end up doing things like supplementing with pumpkin, vet visits, and other measures.We recently moved and got a new vet, and took one of our dogs in with one of their regular digestive issues. The vet said, look, these high-end foods are usually great, however by their nature they don't have stable suppliers of their esoteric ingredients, so their formulations tend to vary from batch to batch, and a varying diet is a primary contributor to dog digestive issues.After he said this I expected him to push Science Diet, which is what virtually all my past vets have done, and he had bags of it stacked on shelves in his waiting room - but he didn't. He said, try Purina Pro Plan, it's high-end enough to have quality ingredients, but mass-market enough to have stable suppliers and consistent composition over time.We were skeptical, but figured it was worth a shot, so we transitioned our dogs to Purina Pro Plan, and sure enough, their digestive issues have almost completely disappeared. They also remain happy, active, and healthy, with good coats, and don't have lethargic bouts of growling tummies on a regular basis. Note that we have a pretty diverse canine population, ranging from Corgies to mutts to hounds to Rottweilers, and it's worked great for all of them.We did this a few months ago and things are still good, so we're convinced. It still drives me nuts that grocery stores won't carry (what we consider to be) decent dog food, so we have to go to the feed store or PetSmartCo for the Pro Plan, and occasionally I'll buy it here on Amazon (and they ship it Prime, which is nice).Note that we love our dogs and would happily pay more for consistent, high-quality dog food, but we just haven't found it, and we are surprised converts to Purina Pro Plan."
My dog likes it,My dog really likes it so I will keep buying it. My vet says Purina is a brand I can trust. Wish it was a little less expensive but it’s far from the most expensive dry food.
Pleasing to my pups palette,"My pup loves this flavor. We were feeding him the lamb flavor before and he would eventually finish his food but with this flavor, he is so excited for meal time and finishes his food."
Dogs seem to like it.,"Dogs have no problem eating it up, seems to be made from pretty decent ingredients."
Excellent Customer Service,"I am new to amazon prime and have been very impressed with my experience thus far. I have ordered several items and am amazed how quickly things arrive to my home which is in a town of 4000 people. I have an 8 year old 100-lb golden retriever and have been using purina pro plan for his entire life. Today I received my second delivery of this dog food through Amazon and unfortunately it had a slit in the side of the bag from what appears to be a box cutter that resulted in the dog food being all over the inside of the box. This was the first item I’ve received from Amazon that was damaged and not having a ton of experience with Amazon as well as being frustrated that the dog food arrived in this condition, I went to the chat function for customer service to tell them my experience. The customer service was extremely fast and remediated the situation in less than a minute much to my surprise. Very impressed with Amazon’s customer service and their business model. Upon receiving the package today, I was skeptical in ordering further dog food from Amazon but this quick and essentially effortless experience with customer service renewed my newfound trust in such a great company that takes care of their customers with little to no questions asked. Highly recommend anyone considering not lugging around heavy dog food bags anymore to give Amazon a try given their competitive prices and excellent customer service able to remediate any issues that are unlikely to come your way."
Dog Food,"Great, price is a little high"
Making my dog sick,"Started mixing this with my dogs old food with the plan to have him eat this moving forward, but after he started eating pro plan, he has been getting sick every day. Switched him back to his old food and seems to be doing fine."
My fur baby loves this!,My fur baby loves this food! Been using it for years!
My dog LOVES it,I feel sooo guilty. My dog is 5 years old and has never been one to get excited for meal time. Now that I have purchased this food she begs for breakfast and dinner!! My only regret is not finding and buying this sooner. 10:10 recommend!!
My dog loves this!,"There are a lot of dog food brands and styles that my dog likes, but the food doesn't like him.  We have had bouts of vomiting and lack of ability to control when he had to ""go"" resulting in house cleaning that interrupted plans. Any dog owner can attest that most dogs are very sensitive, not being able to vary their diets much. This food was one of the few that didn't give him problems when we moved him to it, although we did a SLOW and GRADUAL conversion, mixing it with his other food (the other food was a very cheap brand that is great on the budget, but he did not appear to be healthy or happy about it).Now, during the conversion process our dog began to sort his food, eating just this brand and leaving the original brand in the dish. He loves it, and is excited to get this food.  And he knows when the box is for him. Sort of ironic because we do not control his diet, the food is in a self feeding container that lasts a week or two at a time....he has no need to wait or be excited for it as he always has it available. However, he loves it...and does get excited. And best yet, his fur is no longer dry and breaking, and he is full of more energy.  Not so good when we don't go out often, but better for him to be healthy and energetic.Of note, do not buy large amounts of this unless you have a way to safely store it.  It does not need refrigerated or anything fancy, but when opened and exposed to the air you have about a month to use it or it starts to cause upset stomach issues in the dog.  I use a dog food container with a gamma seal for the bulk of the food so the food doesn't just sit in the air. I think it is the ""fresher"" meat that is included with the hard bits of corn and fiber.  It doesn't rot, per se, but it does cause issues with your pet."
Very INCONSISTENT product. Switched to other e-merchant.,"I keep buying this product but it is highly inconsistent.First batch food was great. The dry chicken pieces were big, smell was so good and food was fresh, moist and my basset and maltese went thru like maniacs.Second batch, was so different that I had to double check whether I ordered the same thing. Smell was chemical, chicken pieces small and super dry. Two 4-legged mutineers at home, really unhappy.Third batch, food was moist, chicked smaller and smaller. Food smell was better than 2rd batch. I found A LOT of crumbles from the kibbles in the sac. Dogs were more interested in the food this time.I am rolling the dice in 2 weeks hoping my dogs will keep eating ProPlan."
Better $$ than Chewy,Title says it all..today any way.
Only food my dog will eat,"I rescued a high-maintenance shelter dog who only ate hot human food. I tried a few different dry foods and he wouldn’t eat for days. This is the only on he chowed down so I stuck with it. One year later and my dog is energetic, healthy and happy."
My dog loves it,My dog loves it! But I payed double ordering thru AmazonI can buy it at Walmart for half the priceLive and learn
I’ve seen the reviews,"I know this food has some pretty yucky reviews in terms of freshness. While I have experienced issues of freshness when buying from my local Petco, this has not been the case when purchasing from Amazon. convenient shipping and always fresh for me."
Transitioned from Focus puppy to this,"Small breed puppies were on this same Purina Chicken and Rice in the puppy food.  Time to transfer, I chose this.  They transitioned just fine.  The kibble for the ""small breed"" puppies was really too small for our mini fox terrier (even though he is still only 5-6 pounds) and too small for our chi-chi.  So we went with the regular.  Avoided the ""small breed"" this time too, and it is fine."
Like it,My dog does not miss a beat when she eats this seems to keep her healthy
Good quality kibble that doesn't kill breath,My Golden loves her kibble and I try to switch up flavors for her.  This is my favorite for her because it doesn't leave her breath smelling like dead fish.
Best dog treats,Best dog treats ever.  I’m dog is picky about what she eats.  I found these at a local store and she loves them.  I’m so glad that I found them online.
The shredded parts become very crumbly,The formula agrees with my dog's digestive system really well. But the shredded parts are very crumbly. About 1/8 or more of the package is just crumbs. It works ok if you use the crumbs in a stuffed Kong but I hand feed most of my  dog's meals (for training) and it's no good for that.
Dogs love it!,I’ve been trying all kinds of dry food is for my babies. My mother in law sent two bags of this over and my dogs love it. Smells great and is just right for my little one to eat . If you have a finicky eater try this!!!
Best price with free prime shipping.,Used to buy this at PetSmart for my pooch but price kept going up.  Found this on Amazon at a better price with free prime shipping and get it in 2 days.  Appears to be fresh each time.
Great Brand Of Dog Food,My dog loves this stuff. My Veterinarian toldMe about it and some others to feed her. I had her on Nutro but it is on the list of dog foods online that can possibly cause heart problems in dogs. That’s when I switched. I had seen it and heard of it before and just started her on this brand since that was the first brand that the doctor told me about. I get it on here along with the cans. I had a few cans left over from the last bag I had purchased. She will even eat this dry without some of the canned in it. She’s kind of picky too. I’ll stick with this is the weight maintenance formula. She did great with that one. My dog is medium sized. She is a Rhodesian Ridgeback mix. The hard food is medium sized bites. You may want to purchase smaller bites if you go with this brand and have a smaller dog. I added 5 stars for the taste but I didn’t taste it. I wanted her to have it all to hersel but she told me it is delish! 😉
Our dog Sarge loves it,Sarge is a big German Shepard dog with an appetite to match. He likes the taste. The large bags make it easy to always stay on top of things.
Fountain of youth.,"Greatest diet change for my dog. 10 year old (retired) competition hunting English Setter. Has a new bounce to his step. Highly recommend. I was feeding him pro plan high protein and he was declining noticeably after running in the field.  A soft tissue injury from 5 years ago seems to have been eliminated when it had previously prevented him from jumping into the truck. I was very suspect about the diet change but I have seen nothing but positives after changing to this. Highly recommended, I wish I had made the switch earlier."
"My dogs usually love this, but...","I've been feeding this to my dogs for over a year now, and they really loved it. I did a lot of research before I switched their food, so I was pleased that they were eating such a high quality food. For the last few months, though, I've had to coax them to eat. It looks a bit different to me, too - there don't seem to be as many shreds in it as there were when we first started using it. The only time they will reliably eat it is if I mix it with something else, which I don't do often, and one of the dogs actually picked out the food I had mixed in (Fresh Pet) and spit the Purina on the floor. I really hate to switch them to another dog food because they were doing so well on this before, especially because it is so reasonably priced. I'm hoping it is a temporary change in the formula or something."
Amazon to the rescue for this!,My two year old goldendoodle LOVES this specific flavor of purina pro plan. Our regular subscription service was completely out in every size and it was not communicated to me until we were almost out. Amazon to the rescue and we had the food the next day!
Dog can’t review,If my dog could review himself I would be rich  freshness and brand trust important for me.
Quality dog food,2 Labs..Best ingredients
"Great Quality, Good Value","I like Purina Pro Plan because my Boxer & chihuahuas like it & it is a good value. The quality ingredients keep them healthy with no allergy symptoms.Purina has a good reputation for quality products & I have never had to worry about a recall. My two chihuahuas will even eat it, although the kibble is large. (All three dogs are somewhat picky eaters.) I also usually mix this food with chicken broth or chicken bone broth, a small amount of shredded cooked chicken, and an expensive freeze-dried raw beef “topper” made by TruPet/TruDog called, “Fortify Me.” I’ve had them on this regimen for about 2-3 years.The chihuahuas are 7 years old, and the boxer is 4. (Fortunately, he tolerates the little yappers pretty well considering his dominant nature. 😬)"
Great for our dogs!,"My sister has two larger dogs, a Australian Shepard and a Golden Retriever. They are really active and eat a lot.I just got my own Shih Tzu and opted to buy this dog food on her recommendation. It is not grain free, but she told me that some grain-free dog foods have been known to cause health issues in dogs. Given that my dog will be fine eating small amounts of bread, and seems to love rice, I thought I would give this one a go.The instructions recommend a transition period between the dog's old food and new food. Because I was nearly out of old food, I just went straight to this one, and added a little bit of salmon oil. Though I am sure he would prefer to eat people food, he really likes this combination. I buy the chicken one, but my sister buys the lamb one for her dogs as one of them has severe allergies."
Good Choice for Dogs of All Sizes,"This has been the only dog food we have fed our 11 year old lab- her whole life. She’s in amazing shape for her age, always gets compliments on how puppy like she is, and how soft she is- and I  wholeheartedly believe it starts with this quality food we feed her."
The perfect dog food!,"My pup has been eating this food for several years now.  She has always been very fond of it and eats it with no problems.  When I purchased this bag, I noticed that she was not eating it.  Upon closer evaluation of the food, it appears that there are very little if any of the chicken pieces.  This just leaves the pellets.  She will not eat it without the chicken pieces.  Very disappointed."
Where’s the Chicken Pieces?,I have 2 very picky eaters and I am so glad I tried this one because they both like it and will eat it without having to add any wet food! I’m not crazy about the poultry by-product meal but until I can find something more natural I will stick with this one.
Dogs approved,"He has been on Pro Plan Sport since he outgrew puppy food. It was the only thing I could find in a hi performance food that didn't give him terrible gas. Now that he's older and not as active, I switched him to this. His entire life, it has taken him at least 24 hours to eat his daily ration of Sport and then he would carry it all over the house to eat a mouthful at a time when he felt like it. It also gave him fish breath that would take your breath. The Savor, now that is a different story. He stands at the bowl as soon as it hits the floor and doesn't move from it until the bowl is empty. He worries me to death in the  evenings wanting to be fed now. I don't really see any difference in his energy level, hair quality, shedding, no allergies... but on the plus side, no bad breath and no gas either!"
My 8 year old Drahthaar loves it,"A year ago I purchased my very own full blooded Doberman. Made sure she was full blooded with the proper paperwork and everything! When you think about purchasing a pet. You're committing yourself to having this companion as your best friend at home for hopefully 10 years plus! And if you decided to get a pet friend, don't you think you would want to make sure she is happy and healthy throughout her life as well? Well ever since I've started my Doberman on this brand, She runs to the bowl which means she absolutely loves it! And I do feel that this product is keeping her very healthy and lean muscle! And now my new guest to the house is a stray Cat and knowing how well its doing for my dobie, I had to have it for my new kitten! He's on the Focus currently until he ages a little more of course. But he has nothing but joyful fun around the house. Literally can't wait to get his hands on it and stuff his face lol Damn wizard somehow opened my cabinet and nip picked at the bag until he realized that these Purina packaging is top notch. He still has his front claws and and he couldn't tear it thank god! But I would suggest this product to anyone as it has only brought me more joy knowing my pets have well nutrition and happy life styles. And absolutely love eating it! Forgot to mention really keeps their coat/fur very healthy and soft!"
I want the best for my pet and this is it!,"I’ve been buying Purina Pro Plan for years and my dog loves it and his coat is beautiful. However, my last order had an issue. This bag was infested with silverfish.. I didn’t notice at first and almost everyday I’d find a few silverfish running around where I keep my food. My assumption is there was a problem where the food itself was stored. This was the only time I’ve had this issue but just wanted to bring it to light. I usually buy the dog food at Petsmart and had never had this issue at Petsmart."
Infested with Silverfish,Product showed up open and taped shut😔
Bag was ripped open,"I have quite possibly the pickiest French Bulldog known to man!  I’ve tried countless food brands, all of the “artisanal” local brands, raw diet, home cooking, and my little buddy always gets bored or doesn’t like it.  I came across this Purina pro plan at the recommendation of a friend who’s vet said the quality is great.  I was shocked when my dog ate the entire bowl in a matter of seconds.  He’s done this before, but by the 2nd or 3rd day he usually becomes bored and picky.  I’ve been feeding him this food for several months now, and he still devours every meal.  I am really thankful for this food, because meal time use to be a struggle every day with my dog.  I do wish I were supporting local less known organic food brands instead of purina, but if he loves it and vets recommend it, I am ok with continuing!"
Even the pickiest dog loves it,I normally buy my dog food from chewy but to get free delivery I must spend $50 which requires me to purchase something I don’t have to haveI read prior reviews some giving 5 stars some only one so I thought I would give it a try.  My dog loves it and I store my dog food in a container in a open carport and have had no issues. This food has some rather large chunks in it that I use as treats.  The only problem with it is my dog likes it to much and is always wanting more.
My dog loves it,"I usually use science diet for my dog since when I first got him he needed to gain weight. However after a month or so, he wasnt excited to eat it and just would leave the bowl full of food all day but just love and beg for treats. I reduced his feedings, as well changing the times just incase that was a factor. I ended up having to add beef broth so he would eat it.I wanted to find a food with the same nutritional content as well as something that tasted good for him. He loves it, they have different forms of the kibble, as well as more than just one plain flavor so I can switch it up on him easily. Plus its a little cheaper than science diet which is really nice"
Dog Loved it great taste and nutritional value,"My dog Absolutely loves this flavor of Purina Pro Plan. I’ve been feeding him another variety of Purina Pro Plan for about 8mths now, but recently he became extremely ill with some kind of gastrointestinal sickness. He was pooping and vomiting blood, and I thought that I was going to lose him. Luckily, after $500 at the vet, he made a full recovery. While going through this whole ordeal, my vet recommended that I give him probiotics, so I decided to search for a dry dog food that contained probiotics. I was thrilled when I discovered that the brand of dog food that I was already feeding him carried a variety containing probiotics. I bought this shredded chicken variety, and like I said earlier, he absolutely loves it. I will definitely continue to feed him this variety of Purina Pro Plan unless he’s runs into some unforeseen issue with it in the future. Thank you Amazon and thank you Purina."
Probiotic WIN,"It was not fresh, lots of crumbs. The product was supposed to have shredded chicken mix, however it had little to none. My dog was very hesitant to eat and normally eats it enthusiastically?"
"It was not fresh, lots of crumbs",Our dog loves this food so much that we have to use one of the special bowls that helps him take longer to eat.
Our dog loves his food,"I struggled for years to find kibble my dog Suke got excited to eat, she would never eat at scheduled meal times and the food would sit in her bowl until she was starving, I had to add boiled chicken or bone broth every time. I tried all the expensive brands and bought a small bag of this one day when my scheduled delivery was late and we ran out, she loved it from the start and still gets excited for mealtime a year later. It was not a good fit for my other dog who has a sensitive stomach so he gets a different Purina Pro kibble."
My picky eater loves it!,It never gets old. I love having this on auto ship
Feeding my digs the same for more than 10 years,"If you give a crap about what your Pupper eats but can't afford raw or super elite this is 100% where to go. My last dog the salmon pink bag is ALL she could eat. Anything else she'd have a reaction of some exciting sort. My current dummy eats non stop. Feeding him only the excellent stuff would literally break me. I mix this with a grain free top of the line stuff and he's satisfied and healthy without me taking out a loan for dog food 🙄. Its healthy and gives them what they need without the junk. My dummy is a spoiled athletic prince but my ""beginning adulthood dog"" was healthy for a long time on this. When I needed help with my now baby's diet this was an easy choice."
Great option!,"As far as quality I choose Purina over other brands because with a little research its easy to see that many brands are not much more than a name attached to cheap or worse, dangerous, non-USA crap wrapped in fancy branding. My vet agrees so we go with the well know name of the food that have been feeding animals for decades. As far as acceptance our experience has been as follows:  I had been buying Purina Small dog Chicken with strips for my 1 year old Morkie and 1 year old HavaPoo and they LOVE IT The Havapoo inhales it and the dainty Morkie guards and slowly eats her share as the Havapoo tries for seconds. My wife suggested that we change things up because they ""might be getting bored"" of the same thing. Well, they are definitely less eager to the lamb or chicken without the strips flavor so the moral of the story... don't fix it until they wont eat it."
Both my dogs Love Purina but they didnt like Lamb flavor or the Chicken without strips,He eats it
My dog loves this,They don’t eat any other brand!
My Great Danes love it,Lazer loves this food!!! I am glad Amazon carries it. Always speedy delivery
Fast delivery,My dog literally drools when I go to scoop this.PPP is a high quality kibble I suggest to anyone. My dog was on purina one for awhile but after doing research I did the swtich. Her eyes have never been bright and her coat and never been shinier. Plus because it's high quality I use less. One bag lasts my 85 lb mutt for about 2 months. Buy this if you care about giving your dog the best but also have a budget to keep to. You dont need to spend 80 dollars on food to have a beautiful and healthy dogAdded pic of how my dog looks after two months on PPP
Best kibble you can buy,"ROSCOE’S REVIEW - I’m an Italian Greyhound/Chihuahua and am very finicky when it comes to food, but I love the taste of the shredded chicken Pro Plan. Yum! I give it 4 pawsHALO’S REVIEW - I’m a Pomeranian and I’m not finicky at all. Give me any type of food and I’ll eat it, but my Mom, my HUMAN MOM, she’s a vet tech and she only feeds us Purina Pro Plan. She says it’s the best food. She’s had dogs before us and has always fed them this. Even our feline sister gets Pro Plan."
Veterinary Technician Recommended,"The very first ingredient is real chicken, not chicken by-product.  In fact, this formula of dog food has very little by-product in it.  My wife and I believe it's some of the best dog food around.  Our dogs are all happy, healthy, energetic, and have shiny coats, so we must be doing something right.The dogs love this food.  It has real pieces of chicken mixed in and they all have developed a unique way to eat it - they take a mouthful at a time and drop it on the floor.  They then separate the real chicken pieces from the rest and eat those first.  After the real chicken is gone, then they clean up the mess from the floor.  Gotta get the good stuff first, I guess.  It's sort of comical to watch.The Amazon Prime price on this dog food is on par with buying it at a brick-and-mortar pet store locally, so it's not a super-deal in that regard.  What it does have going for it, though, is the advantage of being delivered right to our door step.  Since my wife and I both work, not needing to take time out to go to shopping for this food makes this deal very compelling."
Good quality dog food delivered right to your door!,"I belong to a lot of dog breed specific FB groups (Golden Doodle) and they all say overwhelmingly that Purina Pro Plan is one of the best dog foods on the market today. Our dog loves it and as long as it continues to get rave reviews from the members of my groups, we'll be sticking with it."
Our Dog Loves It,"I have bought this dog several times . The chicken is not in it anymore just crumbs of chicken.  DISGUSTED!! WITH PRICE AS IT IS NOW QUALITY IS CRAP !!  people can't afford to have a pet . We are regular people and can't eat a steak it's to expensive. Do you really need this much !!! greed is a terrible thing. How sad . I won't be buying your dog food anymore. No thank you ! Don't suggest anyone else buy it,not worth the money at all."
Greedy people!!,"I have a pitbull mix and he has been picky with his dog food lately. I must admit, I would notice that he wouldn't eat his dog food, so I would give him table food, but it's gotten to the point where he holds out on his own food because he knows he'll get table food from me. Well, when I put some of this food in his food bowl, he instantly eat all of it. I've fed him 3 times so far, and each time he has eaten his own food while my son and I have been at the table eating our own food. Any other time he would've been right beside us begging for food, so we can definitely tell that he loves his doggy food!"
My dog loves it!,"I have 2 dogs that are very old, like me. I had been feeding them Purina Pro Plan dog food for a long time. I was reading about different dog foods and decided to make a healthier change. They did not like the change. At all!  Even though the new food is supposed to be a good food and healthy, If they won't eat it, it isn't the right one for us. Pro Plan has chicken pieces in it and I see those pieces that they have freeze dried. The dog food pieces are mostly round with the chicken pieces in it. I was really getting concerned that one of my girls was getting her ribs showing again. I also have probiotics for dogs and when this bag came, I started mixing a scoop of it in the food. I am supposed to wet the food to dissolve the powder. They are thrilled with both. They are licking the bowls when there is no food left. I think it is wonderful to try to feed your dogs healthy food but this is the one I will always buy from now on. It is a great product! Thanks Purina"
like me. I had been feeding them Purina Pro ...,"We buy this dog food for our dog Macy, she's a Lab German Shepherd mix she's a good sized girl. At first she didn't seem to like this food but after a few days she would eat this food and keep going until her bowl is clean. As far as the health benefits seem to go this food is definitely a good quality food, I do not care if it is grain-free or if it has grain in it a lot of grain-free foods are absolutely horrible for dogs. We've been feeding this food to our girl for about three months and she's now shedding less, more energetic and the probiotics in this blend of food really seem to help her with a few of her other issues. I can't recommend this food enough to people, especially if I hear them say they're feeding their dog a cheap low quality food."
Great healthy dog food,My dogs love this it helped them stay satisfied
Best dog food,"This product is recommended by the vet. This is the only dog food that my dog eats alone, with no other foods mixed in it. I also, bought it for my friends dog, who has the same problem. And he loves it and can eat just dry dog food alone. This dry dog food must be good, because they can  now eat it with nothing mixed in it. Thy love the freshness and flavor, which makes the quality ingredient the best."
Best dry dog food recommended by the vet,The price just goes up and up every month. Not worth the “repeat delivery” because you don’t get anything off. I will just go to the store and pay the same price.
Just ok,"This dog food has been life changing for our Boston Terrier. She’s 11, and we’ve been feeding her another “high end” brand of dog food for most of her life, until the recent no-grain dog food brands and link to heart disease news came out. Our vet recommended a list of 2-3 different foods to switch to. We tried this one first, thinking dog food is dog food, but WOW... She has morphed from a slower, senior-acting dog to a frisky and playful pup again! We feed all 3 of our dogs this food (Chihuahua, Boston and Catahoula) and couldn’t be happier. All the dogs love the little meat bits and never leave the kibble uneaten. They love it. We are so happy that this product changed our old dog’s life and made her happier and healthier. Thank you!!!"
Gave my old dog new life,Had to switch back to Rachael Ray for my lab didn’t like it a stopped eating and lost weight. Could count his ribs.My niece is a vet and recommends the Pro Plan but he didn’t care for it. My mutt loved it.
One dog loved it. The other hated it and lost weight,"First let me say that I have purchased this dog food for both of my dogs for the last 6 years. So I am a LOYAL purina pro plan customer and have only ever used this brand. We have always loved it…until the last couple of months. I’ve ALWAYS had their food stored in airtight containers, but recently I noticed there was bugs and worms in the food. Like not just a few bugs….I mean like infested with bugs and worms. So because I’m such a loyal customer that has loved purina, I thought there’s no way it could be the manufacturer’s fault. I figured I just needed to buy new vacuum sealed containers and that maybe my current containers had an issue. Let me also say that my house is incredibly clean and we don’t have any bugs anywhere else in the house. So I spent money on the top of the line food containers designed to keep out bugs. Then, I checked when I opened a new bag of purina, and I saw the bugs in the bag before I even poured it into my container. That’s when I knew the bug/worm infestation was not our container problem…but a Purina problem. I reported it to amazon and got a refund. Then, I still purchased more purina because I figured maybe it was just a bad batch. Well, now my last 2 orders also had bugs. One of them is outside the return window so I’m frustrated. Honestly my dogs love this food so if I get a response from Purina with how they are going to fix this, I am willing to remain a customer because I know mistakes happen. But if not, I’m going to have to transition my dogs to a different food unfortunately. Or maybe buy it directly from Petco and not amazon?"
buyer beware,Food is great delivery and handling is awful.  Been buying this for over two years and it is consistently late or doesn't show up at all and needs to be reordered.
DELIVERY IS LATE 95% OF THE TIME BECAUSE THE DRIVERS HATE THE HEAVY BAGS ORDER EARLY!!,Dr recommend this for my dog who’s been having trouble with diarrhea and urinating. So far so good
Dr recommend,"My vet recommended this brand several years ago and I stopped using it, one of my dogs have IBS this is the only food that doesn't upset his stomach, this is a great dog food. I have six dogs and they all like it."
Veterinary,Please use use instead of usps.  My female postal carrier leaves my 47lb bag at the post office.
Good food for your pet,"Mi perrito tiene 16 años y le gusta mucho esta comida, me imagino que tiene buen sabor, yo no lo he probado..!! Jejeje 😆"
Great dog food,"When we got our small Sheltie from a breeder (we happily adopted a pup who didn't meet their ""show dog"" standards - but she is perfect to us) they used this brand of food and we continued, first with the puppy formula and now for adults. Our vet approved us continuing and we alternate the chicken a beef with morning/dinner feedings. We like that it has the shredded pieces included to give some variety to traditional kibble. A big bag of each lasts for months/almost a year, so it really isn't too much to spend. Tried the Amazon delivery this time rather than lugging it home from PetCo. I felt for our post woman who had to lug it out of her mail truck, because it is heavy at 35 pounds. At least she pulled up in our driveway to get it out. It sure was convenient for me, and the price the same or slightly less as going to PetCo. I'd give it 5 stars if my Sheltie could talk and give more feedback."
A mi perro le gusta,Dog foid
Sheltie eats it up,"My dog (coonhound) just turned 3 and every brand I have tried of dog food, she let's sit for hours. I always thought she was a weird dog since she wouldn't scarf down her food or she would walk away after I poured food in her dish. someone told me about this kind so we tried it. She loves it! I have never seen her this excited over food before. She knew what was in the box as soon as I brought it in. She started wagging her tail very excited for dinner."
Dog food,"To my husband and I has come our newly adopted Australian Cattle Dog, Ralph, he is 5 years old and he's wonderful!  He's been through the Missouri Puppies for Parole program, offered to prisoners in the State of Missouri.  He LOVES PURINA PRO PLAN DRY FOOD, SAVOR.  His foster mother said "" get Purina Pro Plan for him"".  He is house trained, comes, sits, stays and walks like a champion with me, I am 70 years old.  I jumped into Amazon and found Purina Pro Wet and Dry food for him AND it's PRIME.  The boxes arrived just as I expected. He eats Chicken and Rice.  He's about 44 pounds and at the fosters instruction I give him 1 1/4 cup dry and about 2 big tbls. Wet - 2 X a day.  I mix the wet with a about 1/4 cup very warm water, to make a gravy and then add 1 1/4 cup dry, then mix again.  RALPHY LOVES PURINA!!!!  And I don't have to worry about him being poisoned with foreign foods.  Our last Cattle Dog lived 17 years, with good care and Purina.  WE LOVE PURINA PRO PLAN."
My dog loves it!,I gave my dog his first bowl and he loved it! He was almost dancing while he ate! I got him more and he ate a few bites and was full. He went and laid by the bag before I picked it up and poured it in the food storage container. I’ve never seen a dog so happy to get off of a high dollar puppy food and go to adult food. This stuff is amazing!
